query_id,dataset,seed,mode,dense_ndcg,hybrid_ndcg,psafe_ndcg,delta_psafe_dense,selected_action
10109,fiqa,42,high_recall,0.5399294342072939,0.5310500112078503,0.5399294342072939,0.0,Dense
10122,fiqa,42,high_recall,0.0,0.44149241373678083,0.44149241373678083,0.44149241373678083,Deep Hybrid
10136,fiqa,42,high_recall,0.2960819109658652,0.13565197343244778,0.13565197343244778,-0.16042993753341744,Deep Hybrid
10137,fiqa,42,high_recall,0.5,0.3562071871080222,0.5,0.0,Dense
10183,fiqa,42,high_recall,0.23719771276929622,0.2640681225725909,0.2640681225725909,0.026870409803294665,Deep Hybrid
10213,fiqa,42,high_recall,0.0,0.0,0.0,0.0,Dense
10267,fiqa,42,high_recall,0.0,0.0,0.0,0.0,Deep Hybrid
10447,fiqa,42,high_recall,0.20210734650054757,0.2960819109658652,0.2960819109658652,0.09397456446531766,Deep Hybrid
10482,fiqa,42,high_recall,0.0,0.0,0.0,0.0,Deep Hybrid
10497,fiqa,42,high_recall,0.5009732673492617,0.6906478832608419,0.5009732673492617,0.0,Dense
10526,fiqa,42,high_recall,0.3065735963827292,0.21840743681816419,0.21840743681816419,-0.088166159564565,Deep Hybrid
10547,fiqa,42,high_recall,0.0,0.0,0.0,0.0,Deep Hybrid
10558,fiqa,42,high_recall,0.6131471927654584,0.7977228895450266,0.7977228895450266,0.1845756967795682,Deep Hybrid
10601,fiqa,42,high_recall,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,Deep Hybrid
10645,fiqa,42,high_recall,0.37800210039683896,0.5714285040141098,0.37800210039683896,0.0,Dense
10710,fiqa,42,high_recall,0.0,1.0,0.0,0.0,Dense
10734,fiqa,42,high_recall,0.7751482523375255,0.892210845475489,0.7751482523375255,0.0,Dense
1074,fiqa,42,high_recall,1.0,1.0,1.0,0.0,Dense
10808,fiqa,42,high_recall,0.7653606369886217,0.617319681505689,0.7653606369886217,0.0,Dense
10809,fiqa,42,high_recall,0.7653606369886217,0.7653606369886217,0.7653606369886217,0.0,Dense
10812,fiqa,42,high_recall,0.6366824387328317,0.8318724637288826,0.6366824387328317,0.0,Dense
10845,fiqa,42,high_recall,1.0,1.0,1.0,0.0,Deep Hybrid
1085,fiqa,42,high_recall,0.0,0.0,0.0,0.0,Dense
109,fiqa,42,high_recall,1.0,1.0,1.0,0.0,Deep Hybrid
10912,fiqa,42,high_recall,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,Deep Hybrid
10932,fiqa,42,high_recall,1.0,1.0,1.0,0.0,Dense
10975,fiqa,42,high_recall,0.0,0.0,0.0,0.0,Deep Hybrid
10979,fiqa,42,high_recall,0.5413996682199069,0.5585075862632192,0.5585075862632192,0.017107918043312242,Deep Hybrid
10994,fiqa,42,high_recall,0.2640681225725909,0.6240505200038379,0.2640681225725909,0.0,Dense
11039,fiqa,42,high_recall,0.1698945472148159,0.3794140541514857,0.3794140541514857,0.20951950693666982,Deep Hybrid
11088,fiqa,42,high_recall,1.0,1.0,1.0,0.0,Dense
1150,fiqa,42,high_recall,0.15101961822780524,0.13905617951077562,0.15101961822780524,0.0,Dense
1157,fiqa,42,high_recall,0.38685280723454163,0.6131471927654584,0.38685280723454163,0.0,Dense
1159,fiqa,42,high_recall,0.0,0.0,0.0,0.0,Dense
1198,fiqa,42,high_recall,1.0,1.0,1.0,0.0,Deep Hybrid
1281,fiqa,42,high_recall,0.6309297535714575,0.43067655807339306,0.43067655807339306,-0.20025319549806447,Deep Hybrid
1321,fiqa,42,high_recall,0.0,0.0,0.0,0.0,Deep Hybrid
1322,fiqa,42,high_recall,0.3903800499921017,0.24630238874073,0.3903800499921017,0.0,Dense
1451,fiqa,42,high_recall,0.6309297535714575,0.5,0.5,-0.13092975357145753,Deep Hybrid
1469,fiqa,42,high_recall,1.0,1.0,1.0,0.0,Deep Hybrid
1670,fiqa,42,high_recall,0.7039180890341347,0.7653606369886217,0.7653606369886217,0.061442547954487,Deep Hybrid
1748,fiqa,42,high_recall,0.46927872602275644,0.16716045496620227,0.46927872602275644,0.0,Dense
18,fiqa,42,high_recall,0.0,0.0,0.0,0.0,Deep Hybrid
1815,fiqa,42,high_recall,1.0,0.6309297535714575,0.6309297535714575,-0.36907024642854247,Deep Hybrid
1819,fiqa,42,high_recall,0.15130120674940672,0.2521686779156779,0.15130120674940672,0.0,Dense
1824,fiqa,42,high_recall,0.6309297535714575,0.43067655807339306,0.43067655807339306,-0.20025319549806447,Deep Hybrid
1832,fiqa,42,high_recall,0.43067655807339306,0.3010299956639812,0.3010299956639812,-0.12964656240941186,Deep Hybrid
1877,fiqa,42,high_recall,1.0,1.0,1.0,0.0,Dense
1915,fiqa,42,high_recall,1.0,1.0,1.0,0.0,Deep Hybrid
1920,fiqa,42,high_recall,0.0,0.0,0.0,0.0,Deep Hybrid
1933,fiqa,42,high_recall,1.0,1.0,1.0,0.0,Deep Hybrid
1948,fiqa,42,high_recall,1.0,1.0,1.0,0.0,Dense
2051,fiqa,42,high_recall,0.0,0.0,0.0,0.0,Deep Hybrid
2075,fiqa,42,high_recall,0.6553462294121515,0.48877128938335535,0.6553462294121515,0.0,Dense
2076,fiqa,42,high_recall,1.0,0.8772153153380493,0.8772153153380493,-0.1227846846619507,Deep Hybrid
2088,fiqa,42,high_recall,0.0,0.0,0.0,0.0,Dense
2154,fiqa,42,high_recall,0.0,0.0,0.0,0.0,Deep Hybrid
2183,fiqa,42,high_recall,0.6898511839334865,0.5493640533376876,0.5493640533376876,-0.14048713059579898,Deep Hybrid
2264,fiqa,42,high_recall,0.3065735963827292,0.6131471927654584,0.3065735963827292,0.0,Dense
2306,fiqa,42,high_recall,0.3065735963827292,0.38685280723454163,0.38685280723454163,0.08027921085181244,Deep Hybrid
2316,fiqa,42,high_recall,1.0,1.0,1.0,0.0,Dense
2318,fiqa,42,high_recall,0.0,0.38685280723454163,0.38685280723454163,0.38685280723454163,Deep Hybrid
2334,fiqa,42,high_recall,0.7039180890341347,0.9066276098484507,0.9066276098484507,0.20270952081431604,Deep Hybrid
2348,fiqa,42,high_recall,0.3024038304938509,0.5606114592078374,0.3024038304938509,0.0,Dense
2388,fiqa,42,high_recall,1.0,1.0,1.0,0.0,Deep Hybrid
2400,fiqa,42,high_recall,0.46927872602275644,0.46927872602275644,0.46927872602275644,0.0,Deep Hybrid
2407,fiqa,42,high_recall,0.0,0.3903800499921017,0.3903800499921017,0.3903800499921017,Deep Hybrid
2443,fiqa,42,high_recall,0.0,0.0,0.0,0.0,Dense
2460,fiqa,42,high_recall,1.0,0.8710785440003369,1.0,0.0,Dense
2472,fiqa,42,high_recall,0.0,0.1480409554829326,0.1480409554829326,0.1480409554829326,Deep Hybrid
